(0,0) -> (1,0), w=1.000, (0,1), w=1.000, (1,1), w=1.414
(0,1) -> (1,1), w=1.000, (0,0), w=1.000, (0,2), w=1.000, (1,0), w=1.414, (1,2), w=1.414
(0,2) -> (1,2), w=1.000, (0,1), w=1.000, (0,3), w=1.000, (1,1), w=1.414, (1,3), w=1.414
(0,3) -> (1,3), w=1.000, (0,2), w=1.000, (0,4), w=1.000, (1,2), w=1.414, (1,4), w=1.414
(0,4) -> (1,4), w=1.000, (0,3), w=1.000, (0,5), w=1.000, (1,3), w=1.414, (1,5), w=1.414
(0,5) -> (1,5), w=1.000, (0,4), w=1.000, (0,6), w=1.000, (1,4), w=1.414, (1,6), w=1.414
(0,6) -> (1,6), w=1.000, (0,5), w=1.000, (0,7), w=1.000, (1,5), w=1.414, (1,7), w=1.414
(0,7) -> (1,7), w=1.000, (0,6), w=1.000, (0,8), w=1.000, (1,6), w=1.414, (1,8), w=1.414
(0,8) -> (1,8), w=1.000, (0,7), w=1.000, (0,9), w=1.000, (1,7), w=1.414, (1,9), w=1.414
(0,9) -> (1,9), w=1.000, (0,8), w=1.000, (0,10), w=1.000, (1,8), w=1.414, (1,10), w=1.414
(0,10) -> (1,10), w=1.000, (0,9), w=1.000, (0,11), w=1.000, (1,9), w=1.414, (1,11), w=1.414
(0,11) -> (1,11), w=1.000, (0,10), w=1.000, (0,12), w=1.000, (1,10), w=1.414, (1,12), w=1.414
(0,12) -> (1,12), w=1.000, (0,11), w=1.000, (0,13), w=1.000, (1,11), w=1.414, (1,13), w=1.414
(0,13) -> (1,13), w=1.000, (0,12), w=1.000, (0,14), w=1.000, (1,12), w=1.414, (1,14), w=1.414
(0,14) -> (1,14), w=1.000, (0,13), w=1.000, (0,15), w=1.000, (1,13), w=1.414, (1,15), w=1.414
(0,15) -> (1,15), w=1.000, (0,14), w=1.000, (0,16), w=1.000, (1,14), w=1.414, (1,16), w=1.414
(0,16) -> (1,16), w=1.000, (0,15), w=1.000, (0,17), w=1.000, (1,15), w=1.414, (1,17), w=1.414
(0,17) -> (1,17), w=1.000, (0,16), w=1.000, (0,18), w=1.000, (1,16), w=1.414, (1,18), w=1.414
(0,18) -> (1,18), w=1.000, (0,17), w=1.000, (0,19), w=1.000, (1,17), w=1.414, (1,19), w=1.414
(0,19) -> (1,19), w=1.000, (0,18), w=1.000, (0,20), w=1.000, (1,18), w=1.414, (1,20), w=1.414
(0,20) -> (1,20), w=1.000, (0,19), w=1.000, (0,21), w=1.000, (1,19), w=1.414, (1,21), w=1.414
(0,21) -> (1,21), w=1.000, (0,20), w=1.000, (0,22), w=1.000, (1,20), w=1.414, (1,22), w=1.414
(0,22) -> (1,22), w=1.000, (0,21), w=1.000, (0,23), w=1.000, (1,21), w=1.414, (1,23), w=1.414
(0,23) -> (1,23), w=1.000, (0,22), w=1.000, (0,24), w=1.000, (1,22), w=1.414, (1,24), w=1.414
(0,24) -> (1,24), w=1.000, (0,23), w=1.000, (0,25), w=1.000, (1,23), w=1.414, (1,25), w=1.414
(0,25) -> (1,25), w=1.000, (0,24), w=1.000, (0,26), w=1.000, (1,24), w=1.414, (1,26), w=1.414
(0,26) -> (1,26), w=1.000, (0,25), w=1.000, (0,27), w=1.000, (1,25), w=1.414, (1,27), w=1.414
(0,27) -> (1,27), w=1.000, (0,26), w=1.000, (0,28), w=1.000, (1,26), w=1.414, (1,28), w=1.414
(0,28) -> (1,28), w=1.000, (0,27), w=1.000, (0,29), w=1.000, (1,27), w=1.414, (1,29), w=1.414
(0,29) -> (1,29), w=1.000, (0,28), w=1.000, (0,30), w=1.000, (1,28), w=1.414, (1,30), w=1.414
(0,30) -> (1,30), w=1.000, (0,29), w=1.000, (0,31), w=1.000, (1,29), w=1.414, (1,31), w=1.414
(0,31) -> (1,31), w=1.000, (0,30), w=1.000, (0,32), w=1.000, (1,30), w=1.414, (1,32), w=1.414
(0,32) -> (1,32), w=1.000, (0,31), w=1.000, (0,33), w=1.000, (1,31), w=1.414, (1,33), w=1.414
(0,33) -> (1,33), w=1.000, (0,32), w=1.000, (0,34), w=1.000, (1,32), w=1.414, (1,34), w=1.414
(0,34) -> (1,34), w=1.000, (0,33), w=1.000, (0,35), w=1.000, (1,33), w=1.414, (1,35), w=1.414
(0,35) -> (1,35), w=1.000, (0,34), w=1.000, (0,36), w=1.000, (1,34), w=1.414, (1,36), w=1.414
(0,36) -> (1,36), w=1.000, (0,35), w=1.000, (0,37), w=1.000, (1,35), w=1.414, (1,37), w=1.414
(0,37) -> (1,37), w=1.000, (0,36), w=1.000, (0,38), w=1.000, (1,36), w=1.414, (1,38), w=1.414
(0,38) -> (1,38), w=1.000, (0,37), w=1.000, (0,39), w=1.000, (1,37), w=1.414, (1,39), w=1.414
(0,39) -> (1,39), w=1.000, (0,38), w=1.000, (0,40), w=1.000, (1,38), w=1.414, (1,40), w=1.414
(0,40) -> (1,40), w=1.000, (0,39), w=1.000, (0,41), w=1.000, (1,39), w=1.414, (1,41), w=1.414
(0,41) -> (1,41), w=1.000, (0,40), w=1.000, (1,40), w=1.414
(1,0) -> (0,0), w=1.000, (2,0), w=1.000, (1,1), w=1.000, (0,1), w=1.414, (2,1), w=1.414
(1,1) -> (0,1), w=1.000, (2,1), w=1.000, (1,0), w=1.000, (1,2), w=1.000, (0,0), w=1.414, (2,0), w=1.414, (0,2), w=1.414, (2,2), w=1.414
(1,2) -> (0,2), w=1.000, (2,2), w=1.000, (1,1), w=1.000, (1,3), w=1.000, (0,1), w=1.414, (2,1), w=1.414, (0,3), w=1.414, (2,3), w=1.414
(1,3) -> (0,3), w=1.000, (2,3), w=1.000, (1,2), w=1.000, (1,4), w=1.000, (0,2), w=1.414, (2,2), w=1.414, (0,4), w=1.414, (2,4), w=1.414
(1,4) -> (0,4), w=1.000, (2,4), w=1.000, (1,3), w=1.000, (1,5), w=1.000, (0,3), w=1.414, (2,3), w=1.414, (0,5), w=1.414, (2,5), w=1.414
(1,5) -> (0,5), w=1.000, (2,5), w=1.000, (1,4), w=1.000, (1,6), w=1.000, (0,4), w=1.414, (2,4), w=1.414, (0,6), w=1.414, (2,6), w=1.414
(1,6) -> (0,6), w=1.000, (2,6), w=1.000, (1,5), w=1.000, (1,7), w=1.000, (0,5), w=1.414, (2,5), w=1.414, (0,7), w=1.414, (2,7), w=1.414
(1,7) -> (0,7), w=1.000, (2,7), w=1.000, (1,6), w=1.000, (1,8), w=1.000, (0,6), w=1.414, (2,6), w=1.414, (0,8), w=1.414, (2,8), w=1.414
(1,8) -> (0,8), w=1.000, (2,8), w=1.000, (1,7), w=1.000, (1,9), w=1.000, (0,7), w=1.414, (2,7), w=1.414, (0,9), w=1.414, (2,9), w=1.414
(1,9) -> (0,9), w=1.000, (2,9), w=1.000, (1,8), w=1.000, (1,10), w=1.000, (0,8), w=1.414, (2,8), w=1.414, (0,10), w=1.414, (2,10), w=1.414
(1,10) -> (0,10), w=1.000, (2,10), w=1.000, (1,9), w=1.000, (1,11), w=1.000, (0,9), w=1.414, (2,9), w=1.414, (0,11), w=1.414, (2,11), w=1.414
(1,11) -> (0,11), w=1.000, (2,11), w=1.000, (1,10), w=1.000, (1,12), w=1.000, (0,10), w=1.414, (2,10), w=1.414, (0,12), w=1.414, (2,12), w=1.414
(1,12) -> (0,12), w=1.000, (2,12), w=1.000, (1,11), w=1.000, (1,13), w=1.000, (0,11), w=1.414, (2,11), w=1.414, (0,13), w=1.414, (2,13), w=1.414
(1,13) -> (0,13), w=1.000, (2,13), w=1.000, (1,12), w=1.000, (1,14), w=1.000, (0,12), w=1.414, (2,12), w=1.414, (0,14), w=1.414, (2,14), w=1.414
(1,14) -> (0,14), w=1.000, (2,14), w=1.000, (1,13), w=1.000, (1,15), w=1.000, (0,13), w=1.414, (2,13), w=1.414, (0,15), w=1.414, (2,15), w=1.414
(1,15) -> (0,15), w=1.000, (2,15), w=1.000, (1,14), w=1.000, (1,16), w=1.000, (0,14), w=1.414, (2,14), w=1.414, (0,16), w=1.414, (2,16), w=1.414
(1,16) -> (0,16), w=1.000, (2,16), w=1.000, (1,15), w=1.000, (1,17), w=1.000, (0,15), w=1.414, (2,15), w=1.414, (0,17), w=1.414, (2,17), w=1.414
(1,17) -> (0,17), w=1.000, (2,17), w=1.000, (1,16), w=1.000, (1,18), w=1.000, (0,16), w=1.414, (2,16), w=1.414, (0,18), w=1.414, (2,18), w=1.414
(1,18) -> (0,18), w=1.000, (2,18), w=1.000, (1,17), w=1.000, (1,19), w=1.000, (0,17), w=1.414, (2,17), w=1.414, (0,19), w=1.414, (2,19), w=1.414
(1,19) -> (0,19), w=1.000, (2,19), w=1.000, (1,18), w=1.000, (1,20), w=1.000, (0,18), w=1.414, (2,18), w=1.414, (0,20), w=1.414, (2,20), w=1.414
(1,20) -> (0,20), w=1.000, (2,20), w=1.000, (1,19), w=1.000, (1,21), w=1.000, (0,19), w=1.414, (2,19), w=1.414, (0,21), w=1.414, (2,21), w=1.414
(1,21) -> (0,21), w=1.000, (2,21), w=1.000, (1,20), w=1.000, (1,22), w=1.000, (0,20), w=1.414, (2,20), w=1.414, (0,22), w=1.414, (2,22), w=1.414
(1,22) -> (0,22), w=1.000, (2,22), w=1.000, (1,21), w=1.000, (1,23), w=1.000, (0,21), w=1.414, (2,21), w=1.414, (0,23), w=1.414, (2,23), w=1.414
(1,23) -> (0,23), w=1.000, (2,23), w=1.000, (1,22), w=1.000, (1,24), w=1.000, (0,22), w=1.414, (2,22), w=1.414, (0,24), w=1.414, (2,24), w=1.414
(1,24) -> (0,24), w=1.000, (2,24), w=1.000, (1,23), w=1.000, (1,25), w=1.000, (0,23), w=1.414, (2,23), w=1.414, (0,25), w=1.414, (2,25), w=1.414
(1,25) -> (0,25), w=1.000, (2,25), w=1.000, (1,24), w=1.000, (1,26), w=1.000, (0,24), w=1.414, (2,24), w=1.414, (0,26), w=1.414, (2,26), w=1.414
(1,26) -> (0,26), w=1.000, (2,26), w=1.000, (1,25), w=1.000, (1,27), w=1.000, (0,25), w=1.414, (2,25), w=1.414, (0,27), w=1.414, (2,27), w=1.414
(1,27) -> (0,27), w=1.000, (2,27), w=1.000, (1,26), w=1.000, (1,28), w=1.000, (0,26), w=1.414, (2,26), w=1.414, (0,28), w=1.414, (2,28), w=1.414
(1,28) -> (0,28), w=1.000, (2,28), w=1.000, (1,27), w=1.000, (1,29), w=1.000, (0,27), w=1.414, (2,27), w=1.414, (0,29), w=1.414, (2,29), w=1.414
(1,29) -> (0,29), w=1.000, (2,29), w=1.000, (1,28), w=1.000, (1,30), w=1.000, (0,28), w=1.414, (2,28), w=1.414, (0,30), w=1.414, (2,30), w=1.414
